tick,mean,min,max,medium
71,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
72,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
73,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
74,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
75,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
76,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
77,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
78,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
79,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
80,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
