tick,quiet,jailed,active
853,877,165,78
854,763,173,184
855,619,211,290
856,618,244,258
857,612,285,223
858,613,324,183
859,620,357,143
860,611,400,109
861,651,424,45
862,677,442,1
863,693,427,0
864,708,412,0
865,724,396,0
866,738,382,0
867,760,360,0
868,782,338,0
869,801,319,0
870,809,305,6
871,815,290,15
872,791,292,37
873,808,293,19
874,785,303,32
875,775,312,33
876,775,330,15
877,807,313,0
878,828,292,0
879,853,267,0
880,888,231,1
881,916,204,0
882,940,180,0
883,955,165,0
884,970,149,1
885,982,138,0
886,996,122,2
887,923,129,68
888,777,159,184
889,629,215,276
890,599,269,252
891,602,317,201
892,612,356,152
893,611,402,107
894,646,433,41
895,674,446,0
896,697,423,0
897,713,407,0
898,731,389,0
899,746,374,0
900,765,350,5
901,778,336,6
902,800,320,0
903,793,310,17
904,788,307,25
905,784,324,12
906,803,317,0
907,820,300,0
908,832,288,0
909,846,273,1
910,871,248,1
911,891,229,0
912,913,206,1
913,933,187,0
914,952,168,0
915,972,148,0
916,993,127,0
917,1015,105,0
918,1025,95,0
919,1037,83,0
920,1053,67,0
921,1049,58,13
922,993,81,46
923,773,120,227
924,603,176,341
925,597,231,292
926,604,279,237
927,611,320,189
928,614,357,149
929,613,401,106
930,627,445,48
931,666,453,1
932,693,427,0
933,715,405,0
934,736,384,0
935,753,366,1
936,768,351,1
937,782,338,0
938,801,319,0
939,824,295,1
940,833,286,1
941,849,270,1
942,863,257,0
943,889,231,0
944,909,211,0
945,928,192,0
946,946,174,0
947,964,156,0
948,967,145,8
949,900,145,75
950,755,174,191
951,622,210,288
952,612,249,259
953,607,294,219
954,618,329,173
955,624,358,138
956,623,397,100
957,656,424,40
958,686,432,2
959,708,412,0
960,720,399,1
961,747,373,0
962,764,356,0
963,785,335,0
964,794,322,4
965,809,309,2
966,827,293,0
967,842,276,2
968,852,268,0
969,870,249,1
970,879,241,0
971,901,219,0
972,921,199,0
973,937,183,0
974,958,159,3
975,971,149,0
976,1003,117,0
977,1016,103,1
978,1028,92,0
979,1044,76,0
980,1053,67,0
981,1065,55,0
982,1077,43,0
983,1084,36,0
984,1095,24,1
985,1094,24,2
986,1092,26,2
987,1094,26,0
988,1093,26,1
989,1091,29,0
990,1090,30,0
991,1094,26,0
992,1094,26,0
993,1095,25,0
994,1097,22,1
995,1096,24,0
996,1094,26,0
997,1046,36,38
998,865,76,179
999,600,132,388
1000,599,184,337
1001,594,242,284
1002,605,289,226
